notes,Compound.Name,Dino-1314,Green-1545,Archaea-SCM1,Alpha-SA30,Alpha-SA42,Alpha-SA33,Beta-SA59,CFB-SA60,Alpha-SA16,Alpha-SA44,Alpha-SA36,Alpha-SA48,Alpha-SA53,Alpha-SA11,Alpha-DSS-3,Alpha-Och114,Syn-7803,Croco-8501,Syn-8102,Pro-MED4,Pro-1314,Pro-Natl2A,Pro-AS9601,Diatom-To,Hapto-2090,Diatom-Cm,Diatom-Tp,Hapto-371,Diatom-Np,Diatom-Pt,Diatom-Pc55x,Dino-449,Dino-1771,Dino-2021,Chryso-116,Chryso-Ca,Chryso-Cr,Chryso-Cs,Chryso-P3,Green-3430,Gamma-SA55,Gamma-SA7,Diatom-Tp10,Diatom-Tp28,Diatom-Tp35
added to media,Hydroxo B12-RP,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
added to media,Isoleucine-HILIC,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blk,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
added to media,Leucine_Isoleucine-HILIC,NA,NA,NA,1,0,1,Blk,Blk,1,1,1,1,1,1,Blk,Blk,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blk,Blk,NA,NA,NA
added to media,Leucine-HILIC,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
added to media,Lysine-HILIC,1,1,1,Blk,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0.666666667,1,Blk,Blk,1,1,1,1,0.666666667,Blk,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Methionine-HILIC,1,1,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Methyl B12-RP,0,0,0,1,1,0,1,0,1,1,1,Blk,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Blk,1,0.333333333,0.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
added to media,Phenylalanine-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
added to media,Proline-HILIC,1,1,1,Blk,Blk,0.666666667,1,Blk,Blk,1,Blk,Blk,1,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Pyridoxal Phosphate-RP,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
added to media,Pyridoxal-RP,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0.666666667,0,1,0,1,1,1,1,0,1,0,0,1,0.333333333,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
added to media,Pyridoxamine-RP,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
added to media,Riboflavin Monophosphate-RP,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,Blk,1,NA,NA,NA,NA,NA
added to media,Riboflavin Monophosphate-HILIC,0,0,NA,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0
added to media,Serine-HILIC,Blk,1,1,Blk,Blk,Blk,Blk,Blk,Blk,0,Blk,0,Blk,Blk,Blk,Blk,1,1,1,1,0,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,1,1,1,1
added to media,Thiamine monophosphate-RP,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0.666666667,0.5,0,0,0,0,1,0,0,0,Blk,1,1,1,0,0,0
added to media,Thiamine monophosphate-HILIC,Blk,1,0,1,0.666666667,1,Blk,1,0.666666667,1,1,1,1,0,1,1,1,1,1,1,0,Blk,Blk,1,1,1,1,1,1,1,1,0,Blk,0,Blk,1,Blk,1,Blk,1,1,1,Blk,0,Blk
added to media,thiamine pyrophosphate-RP,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
added to media,Thiamine pyrophosphate-HILIC,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0.666666667,1,0,0,0
added to media,Threonine-HILIC,1,1,1,Blk,Blk,Blk,Blk,0,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Tryptophan-RP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
added to media,Tyrosine-HILIC,1,1,1,Blk,Blk,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,1,1,1,1,1,1,Blk,1,1,Blk,1,1,1,1,1,1,1,1,1,1,1,0,Blk,Blk,1,1,1
added to media,Valine-HILIC,1,1,1,Blk,Blk,1,Blk,Blk,Blk,1,Blk,1,1,Blk,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Vitamin B1-RP,Blk,1,0,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,Blk,0,0,0,Blk,0,Blk,Blk,Blk,Blk,Blk,1,0,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,1,1,1,1
added to media,Vitamin B2-RP,1,0,1,1,1,Blk,Blk,1,1,Blk,1,1,1,1,1,1,1,1,1,1,Blk,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
added to media,Vitamin B3-RP,1,0,Blk,1,1,1,Blk,Blk,1,1,1,1,1,1,1,Blk,0,Blk,0,1,Blk,Blk,0,1,1,1,0,Blk,0,0,1,1,1,1,1,1,1,1,1,Blk,1,1,1,1,1
added to media,Vitamin B3-HILIC,1,0,NA,1,Blk,Blk,0,Blk,1,1,Blk,1,1,1,Blk,0,0,0,0,0,Blk,Blk,0,0,1,Blk,0,0,0.333333333,0.5,1,1,1,1,NA,NA,NA,NA,NA,NA,Blk,Blk,0,Blk,0
added to media,Vitamin B5-RP,1,1,0,Blk,1,Blk,Blk,Blk,1,Blk,1,Blk,Blk,1,Blk,Blk,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Blk,Blk,1,1,1
added to media,Vitamin B6-RP,0,0,Blk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,Blk,Blk,0,0,0,0,0,0,0,0,Blk,Blk,0
added to media,Vitamin B7-RP,0,Blk,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,Blk,0,0,0,0,0.333333333,Blk,0,Blk,Blk,0,1,0.5,Blk,0,0,Blk,0,0,Blk,Blk,0,Blk,Blk,Blk,0,Blk,0
added to media,Vitamin B9-RP,0,0,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,Blk,Blk,Blk,Blk,Blk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Blk,Blk,Blk,0,0,0
detected but with gaps,"2, 4 decadienal-RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0.333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
